x,Advecção,Advecção-Difusão
2.25,0.0,0.0
2.81,0.0,0.0
3.36,0.0,0.0
3.92,1.5,1.5
4.47,1.5,1.5
5.03,1.5,1.5
5.58,0.0,0.0
6.14,0.0,0.0
6.69,0.0,0.0
7.25,0.0,0.0
