x,Advecção,Advecção-Difusão
0.75,0.0,0.0
1.31,0.0,0.0
1.86,0.0,0.0
2.42,1.5,1.5
2.97,1.5,1.5
3.53,1.5,1.5
4.08,0.0,0.0
4.64,0.0,0.0
5.19,0.0,0.0
5.75,0.0,0.0
